"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1843503206158184636","Tue Oct 08 04:06:29 +0000 2024","0","https://t.co/51i0NoRokl Jadwal Byon Combat Showbiz Vol. 4: Ada 9 Fighter Indonesia vs Malaysia yang Akan Bertarung Bulan November 2024 ! #ByonCombat #November #Viral #JadwalByonCombat #IndonesiavsMalaysia #ByonCombatShowbizVol4","1843503206158184636","","","in","","0","0","0","https://x.com/helojabar_/status/1843503206158184636","1683709673097293826","helojabar_"
"1843288047439446370","Mon Oct 07 16:52:12 +0000 2024","0","@bonjovzi anying sama tukang pukul ternyata mending main di byon combat dapet duit","1843333517910126793","","bonjovzi","in","ambil nasi pak vingsen","0","0","0","https://x.com/4VIATR1X/status/1843333517910126793","1124695582965022721","4VIATR1X"
"1836985842591748221","Fri Sep 20 04:28:49 +0000 2024","1","Progres penurunan bb selama &lt;2bln masih ada 2bln lagi buat sampe range 90kg ditunggu di byon combat 4 @auzeell https://t.co/1F4SaV0a3b","1836985842591748221","https://pbs.twimg.com/media/GX5I4eAaUAA-O9m.jpg","","in","Indonesia","0","3","0","https://x.com/fansboy123/status/1836985842591748221","1216779649662865409","fansboy123"
"1818662637401715162","Wed Jul 31 15:05:36 +0000 2024","1","@thejurgenholic BREAKING NEWS : berhubung tidak ada berita transfer pemain bola di Liverpool sekarang Liverpool berubah menjadi klub tinju dan akan bertanding di BYON COMBAT 4.","1818664315848999407","","thejurgenholic","in","Sidoarjo, Indonesia","0","0","0","https://x.com/myrezandy_/status/1818664315848999407","1770784357789163520","myrezandy_"
"1818655073280700910","Wed Jul 31 14:31:00 +0000 2024","3","@thejurgenholic @bliblidotcom persiapan buat BYON COMBAT 4","1818655608956145675","","thejurgenholic","in","Sidoarjo, Indonesia","0","0","0","https://x.com/myrezandy_/status/1818655608956145675","1770784357789163520","myrezandy_"
"1817018444388401197","Sat Jul 27 11:15:59 +0000 2024","0","@polisiidol sorry. tanpa manda Ci Dean bisa tuh ikut byon combat 4. oh iya sekarang mah lu cuma tai kucing yang sering keinjek doang. alias ga level lagi urusan sama lu sampah","1817156978499789300","","polisiidol","in","apaan","0","0","0","https://x.com/nocontextcuy/status/1817156978499789300","1564545853","nocontextcuy"
"1817146913122099438","Sat Jul 27 10:35:59 +0000 2024","4","4 jam duduk disini. Isi pikiranku: - kok belum dapat kamar rawat inap - ini gimana caranya muter cara biar gak ngecewain banyak orang. - dll Semua malah byon combat dipikiranku. https://t.co/kABpaHCT1A","1817146913122099438","https://pbs.twimg.com/media/GTfNe-6b0AAt0Bb.jpg","","in","Pluto","0","6","0","https://x.com/ChandraaFelixx/status/1817146913122099438","1030463107460608001","ChandraaFelixx"
"1816900110594506902","Sat Jul 27 07:31:04 +0000 2024","0","@gagitugie___ @BlueHade_ @mandaffection @Deanamite_FC Mau Byon Combat 4 tgl 30 November. Gue sih sebagai salah satu anggota #WeAreMembership jelas megang Mas Dean. Megangin tangan Mas Dean biar bang Rudy bebas gebukin dia","1817100376035983543","","gagitugie___","in","","0","1","0","https://x.com/Shinraku18/status/1817100376035983543","1293584442632544256","Shinraku18"
"1816751379312181544","Fri Jul 26 11:11:54 +0000 2024","1","@Deanamite_FC INFO A1 Bang Rudy Golden Boy sudah siap menghadapi Dean KT (King Tinju) di Byon Combat 4 bulan November tahun 2024!!! Ayo ramaikan live streaming Mas Dean agar segera mempersiapkan diri menghadapi Bang Rudy Golden Boy. HIDUP KING DEAN #DeanktVSRudyGoldenBoy https://t.co/IZM0jy0Ne9","1816793562803240992","https://pbs.twimg.com/ext_tw_video_thumb/1816793503701303297/pu/img/BhND-yHzDxtf5ZnK.jpg","Deanamite_FC","in","","0","0","0","https://x.com/Shinraku18/status/1816793562803240992","1293584442632544256","Shinraku18"
"1816680671349268960","Fri Jul 26 07:39:44 +0000 2024","0","@IraqFootballPod @tirta_cipeng BYON COMBAT 4 JADIIN MAS @tirta_cipeng","1816740170001179047","","IraqFootballPod","in","","0","0","0","https://x.com/nomanov12/status/1816740170001179047","340770659","nomanov12"
